epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,562.636,1.06653,0.8142,1.06476,0.88099,0.87449,0.92601,0.63744,1.05729,0.70446,1.10438,0.00016516,0.00016516,0.00016516
43,575.853,1.06302,0.76114,1.06004,0.86391,0.8768,0.90463,0.62571,1.05979,0.73134,1.0957,0.000162408,0.000162408,0.000162408
44,589.127,1.06454,0.76365,1.06541,0.83451,0.85166,0.87487,0.60819,1.04758,0.78645,1.10004,0.000159655,0.000159655,0.000159655
45,602.447,1.05769,0.75608,1.07014,0.85429,0.86995,0.89803,0.62278,1.06676,0.74914,1.10817,0.000156903,0.000156903,0.000156903
46,616.084,1.05028,0.76269,1.059,0.85965,0.8544,0.91072,0.63239,1.06314,0.73758,1.108,0.000154151,0.000154151,0.000154151
47,629.573,1.04493,0.7444,1.06055,0.81059,0.85342,0.87904,0.60488,1.06824,0.79216,1.10348,0.000151399,0.000151399,0.000151399
48,642.891,1.00593,0.73195,1.05044,0.78978,0.84115,0.85789,0.60134,1.04622,0.82095,1.10275,0.000148647,0.000148647,0.000148647
49,656.314,1.04594,0.73409,1.05828,0.90204,0.89205,0.93978,0.66099,1.03591,0.65862,1.0988,0.000145894,0.000145894,0.000145894
50,671.743,1.03517,0.74344,1.05445,0.85273,0.89959,0.92228,0.64051,1.04688,0.70063,1.10647,0.000143142,0.000143142,0.000143142
51,689.583,1.02904,0.73661,1.0547,0.7549,0.76952,0.79348,0.54445,1.05817,0.91456,1.0998,0.00014039,0.00014039,0.00014039
52,705.131,1.01815,0.74467,1.04939,0.84946,0.88383,0.91614,0.64258,1.03527,0.71188,1.08995,0.000137638,0.000137638,0.000137638
53,725.607,1.02886,0.70548,1.05095,0.83899,0.8675,0.89975,0.62969,1.04271,0.73768,1.08908,0.000134886,0.000134886,0.000134886
54,747.435,1.01779,0.69922,1.04556,0.78557,0.83928,0.86369,0.60607,1.05611,0.7977,1.10445,0.000132133,0.000132133,0.000132133
55,768.827,1.01797,0.69277,1.05045,0.85694,0.90242,0.91701,0.63464,1.05672,0.69863,1.10407,0.000129381,0.000129381,0.000129381
56,783.239,1.00849,0.68555,1.0421,0.85213,0.87973,0.89563,0.62117,1.06211,0.73239,1.09526,0.000126629,0.000126629,0.000126629
57,796.612,0.99889,0.66956,1.03748,0.88286,0.88858,0.92627,0.64476,1.06532,0.67704,1.098,0.000123877,0.000123877,0.000123877
58,809.962,1.02464,0.68138,1.05055,0.88129,0.87215,0.92079,0.63778,1.06729,0.69993,1.10117,0.000121125,0.000121125,0.000121125
59,823.189,1.00328,0.67061,1.04287,0.86722,0.87033,0.9107,0.63529,1.05147,0.70907,1.10527,0.000118372,0.000118372,0.000118372
60,836.499,0.98924,0.66481,1.03643,0.84454,0.88905,0.91546,0.63988,1.04259,0.7064,1.09433,0.00011562,0.00011562,0.00011562
61,849.894,1.03319,0.68802,1.04466,0.86661,0.85743,0.90974,0.63635,1.04887,0.72473,1.09543,0.000112868,0.000112868,0.000112868
62,863.106,0.99599,0.65437,1.0325,0.90355,0.91134,0.94784,0.66823,1.04632,0.6321,1.09966,0.000110116,0.000110116,0.000110116
63,876.336,0.9932,0.64747,1.03491,0.8298,0.85324,0.88504,0.60932,1.08716,0.76628,1.1131,0.000107364,0.000107364,0.000107364
64,889.528,1.00639,0.64411,1.03845,0.88368,0.88984,0.92934,0.65378,1.04678,0.66516,1.09975,0.000104611,0.000104611,0.000104611
65,902.833,0.98403,0.64164,1.02524,0.83876,0.86665,0.88431,0.61353,1.0883,0.75562,1.10932,0.000101859,0.000101859,0.000101859
66,916.148,0.9781,0.63613,1.03025,0.87317,0.88076,0.91513,0.64669,1.02792,0.69172,1.08918,9.9107e-05,9.9107e-05,9.9107e-05
